gnl|X|PROKKA_contig000001	PROKKA_00002	304	1473	1	375	PF00171	0.0213799002019
gnl|X|PROKKA_contig000001	PROKKA_00016	13448	13957	3	68	PF12862	0.00651100588464
gnl|X|PROKKA_contig000001	PROKKA_00016	13448	13957	28	109	PF13424	0.00618740490059
gnl|X|PROKKA_contig000001	PROKKA_00016	13448	13957	29	108	PF13414	0.00579631799607
gnl|X|PROKKA_contig000001	PROKKA_00016	13448	13957	30	74	PF13374	0.00533667827965
gnl|X|PROKKA_contig000001	PROKKA_00016	13448	13957	76	114	PF13374	0.00480723184672
gnl|X|PROKKA_contig000001	PROKKA_00016	13448	13957	76	144	PF13414	0.00420653435881
gnl|X|PROKKA_contig000001	PROKKA_00016	13448	13957	86	126	PF12862	0.00353294710343
gnl|X|PROKKA_contig000001	PROKKA_00016	13448	13957	112	166	PF13424	0.00278463252359
gnl|X|PROKKA_contig000001	PROKKA_00016	13448	13957	116	160	PF13374	0.00195954920498
gnl|X|PROKKA_contig000001	PROKKA_00016	13448	13957	128	165	PF12862	0.00105544630689
gnl|X|PROKKA_contig000002	PROKKA_00017	264	563	21	94	PF01156	6.98574219474e-05
gnl|X|PROKKA_contig000002	PROKKA_00021	3514	3777	10	38	PF09346	2.46333388364e-05
gnl|X|PROKKA_contig000002	PROKKA_00021	3514	3777	23	84	PF09346	0.000364537241811
gnl|X|PROKKA_contig000002	PROKKA_00022	4519	4920	1	104	PF03781	0.0110013298787
gnl|X|PROKKA_contig000002	PROKKA_00023	4953	5411	10	147	PF12158	0.0428730233864
gnl|X|PROKKA_contig000002	PROKKA_00023	4953	5411	13	104	PF04156	0.0762456326614
gnl|X|PROKKA_contig000002	PROKKA_00023	4953	5411	123	148	PF04156	0.0773375761933
gnl|X|PROKKA_contig000002	PROKKA_00024	5636	5836	1	41	PF13518	0.0569494531158
gnl|X|PROKKA_contig000002	PROKKA_00024	5636	5836	2	48	PF13551	0.0374474177785
gnl|X|PROKKA_contig000002	PROKKA_00024	5636	5836	14	65	PF13565	0.0187782683124
gnl|X|PROKKA_contig000002	PROKKA_00025	5843	6616	1	140	PF07592	0.000891074974526
gnl|X|PROKKA_contig000002	PROKKA_00025	5843	6616	2	62	PF00665	0.000557301955899
gnl|X|PROKKA_contig000002	PROKKA_00025	5843	6616	21	69	PF09949	0.000504413511637
gnl|X|PROKKA_contig000002	PROKKA_00025	5843	6616	65	210	PF13358	0.000404127477223
gnl|X|PROKKA_contig000002	PROKKA_00025	5843	6616	116	197	PF00665	0.000186577570393
gnl|X|PROKKA_contig000002	PROKKA_00025	5843	6616	162	216	PF07592	9.25686204267e-05
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	1	78	PF13414	0.00142784293684
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	1	121	PF12968	0.0026994974146
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	1	10	PF12854	0.00391100114777
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	2	32	PF13432	0.00506565913822
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	4	76	PF13424	0.0061666213117
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	4	36	PF13428	0.0072168911109
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	5	28	PF13374	0.00821933368888
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	5	97	PF12862	0.00917668372527
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	5	27	PF13181	0.0100915528865
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	8	20	PF12854	0.0109664369506
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	40	120	PF13424	0.0118037226154
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	43	85	PF13374	0.0126056940098
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	44	77	PF13181	0.0133745389248
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	49	123	PF13432	0.0141123547819
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	49	81	PF13428	0.0148211543546
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	85	160	PF13424	0.0155028712597
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	87	159	PF13414	0.016159365232
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	88	120	PF13374	0.0167924271977
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	89	132	PF13428	0.0174037841602
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	123	208	PF13424	0.0179951039112
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	128	167	PF13428	0.0185679995805
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	131	261	PF12968	0.0191240340368
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	131	160	PF13181	0.0196647241512
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	133	166	PF13374	0.020191544935
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	133	199	PF13432	0.020705933564
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	152	160	PF12854	0.0212092932987
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	170	207	PF13428	0.0217029973126
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	172	254	PF13424	0.0221883924382
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	174	253	PF13414	0.0226668028414
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	178	259	PF12862	0.0231395336335
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	180	260	PF13432	0.0236078744317
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	183	210	PF13374	0.0240731028775
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	185	198	PF12854	0.0245364881215
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	218	300	PF13424	0.0249992942861
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	220	298	PF13414	0.0254627839143
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	221	265	PF13374	0.0259282214131
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	222	255	PF13181	0.0263968765036
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	222	268	PF13428	0.0268700276846
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	266	334	PF13414	0.0273489657201
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	267	305	PF13374	0.0278349971608
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	275	333	PF13432	0.0283294479086
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	278	306	PF12862	0.0288336668329
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	279	316	PF13428	0.0293490294512
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	281	303	PF13181	0.0298769416812
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	292	299	PF12854	0.0304188436759
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	304	389	PF13424	0.0309762137528
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	305	442	PF12968	0.0315505724265
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	322	395	PF12862	0.0321434865568
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	324	350	PF13374	0.0327565736231
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	334	391	PF13432	0.0333915061369
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	353	435	PF13424	0.0340500162043
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	355	398	PF13414	0.0347339002515
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	356	391	PF13374	0.0354450239254
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	357	394	PF13428	0.0361853271828
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	358	389	PF13181	0.036956829583
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	361	444	PF13432	0.0377616357972
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	363	382	PF12854	0.0386019413497
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	394	455	PF13424	0.0394800386078
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	401	461	PF13414	0.040398323035
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	403	441	PF13374	0.0413592997262
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	403	448	PF13428	0.0423655902413
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	405	455	PF12862	0.0434199397573
gnl|X|PROKKA_contig000002	PROKKA_00026	6962	8491	427	440	PF13181	0.0445252245567
gnl|X|PROKKA_contig000002	PROKKA_00028	9676	10014	6	112	PF14430	0.0456844598744
gnl|X|PROKKA_contig000002	PROKKA_00028	9676	10014	30	101	PF13548	0.0469008081233
gnl|X|PROKKA_contig000002	PROKKA_00030	11376	12413	3	297	PF05661	0.048177587521
gnl|X|PROKKA_contig000002	PROKKA_00030	11376	12413	12	193	PF07331	0.694101928052
gnl|X|PROKKA_contig000002	PROKKA_00030	11376	12413	16	50	PF11021	0.999785952528
gnl|X|PROKKA_contig000002	PROKKA_00030	11376	12413	155	201	PF15179	0.999819058165
gnl|X|PROKKA_contig000002	PROKKA_00030	11376	12413	167	192	PF11021	0.999999874886
gnl|X|PROKKA_contig000002	PROKKA_00030	11376	12413	169	319	PF07331	0.999967804755
gnl|X|PROKKA_contig000002	PROKKA_00030	11376	12413	205	236	PF11021	0.999999753394
gnl|X|PROKKA_contig000002	PROKKA_00030	11376	12413	274	342	PF15179	0.999577306006
gnl|X|PROKKA_contig000002	PROKKA_00030	11376	12413	275	322	PF11021	0.999314187454
gnl|X|PROKKA_contig000002	PROKKA_00031	12777	14150	7	75	PF06761	0.0197466214112
gnl|X|PROKKA_contig000002	PROKKA_00031	12777	14150	13	81	PF13646	0.0149442303606
gnl|X|PROKKA_contig000002	PROKKA_00031	12777	14150	14	165	PF14136	0.0102652429215
gnl|X|PROKKA_contig000002	PROKKA_00031	12777	14150	33	83	PF14055	0.00569689474043
gnl|X|PROKKA_contig000002	PROKKA_00031	12777	14150	35	146	PF06761	0.00122672328919
gnl|X|PROKKA_contig000002	PROKKA_00031	12777	14150	87	137	PF13646	0.00470781956572
gnl|X|PROKKA_contig000002	PROKKA_00031	12777	14150	213	242	PF13513	0.008237068538
gnl|X|PROKKA_contig000002	PROKKA_00031	12777	14150	225	317	PF13646	0.0118240980546
gnl|X|PROKKA_contig000002	PROKKA_00031	12777	14150	357	423	PF13646	0.0154786935902
gnl|X|PROKKA_contig000002	PROKKA_00031	12777	14150	369	417	PF13513	0.0192108249408
gnl|X|PROKKA_contig000002	PROKKA_00031	12777	14150	393	457	PF13646	0.0230306734213
gnl|X|PROKKA_contig000002	PROKKA_00031	12777	14150	429	451	PF13513	0.0269486596406
gnl|X|PROKKA_contig000002	PROKKA_00035	16792	17355	2	179	PF01872	0.0309754719285
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	4	98	PF13380	0.0348118243397
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	7	69	PF00072	0.0387662552313
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	10	73	PF14493	0.0500873321835
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	14	85	PF16968	0.0618862466237
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	43	99	PF12840	0.0741951861822
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	85	165	PF13380	0.087047729846
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	103	148	PF08281	0.100478939563
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	104	160	PF00196	0.113930743975
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	104	150	PF04545	0.119841949278
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	106	147	PF12840	0.125012102507
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	106	150	PF04967	0.13045745763
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	107	147	PF13384	0.119508753869
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	108	159	PF16968	0.109049672097
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	109	157	PF14493	0.0990516797692
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	110	157	PF08279	0.0894875022001
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	112	147	PF13412	0.0826730778841
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	113	147	PF01022	0.0761452327831
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	141	162	PF08281	0.0731596297464
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	142	163	PF00072	0.0701054963598
gnl|X|PROKKA_contig000002	PROKKA_00036	17485	17991	144	164	PF04545	0.0712004507988
gnl|X|PROKKA_contig000002	PROKKA_00037	18193	19383	3	101	PF00438	0.0718210460555
gnl|X|PROKKA_contig000002	PROKKA_00037	18193	19383	10	56	PF02772	0.0868703061837
gnl|X|PROKKA_contig000002	PROKKA_00037	18193	19383	124	243	PF02772	0.139463571179
gnl|X|PROKKA_contig000002	PROKKA_00037	18193	19383	245	384	PF02773	0.320546553348
gnl|X|PROKKA_contig000002	PROKKA_00038	19526	20515	1	237	PF01370	0.984281841769
gnl|X|PROKKA_contig000002	PROKKA_00038	19526	20515	1	275	PF04321	0.999530921879
gnl|X|PROKKA_contig000002	PROKKA_00038	19526	20515	1	124	PF02719	0.999984188681
gnl|X|PROKKA_contig000002	PROKKA_00038	19526	20515	1	113	PF00106	0.999971193426
gnl|X|PROKKA_contig000002	PROKKA_00038	19526	20515	1	87	PF08659	0.999992774266
gnl|X|PROKKA_contig000002	PROKKA_00038	19526	20515	2	299	PF16363	0.999923866708
gnl|X|PROKKA_contig000002	PROKKA_00038	19526	20515	2	229	PF01073	0.999997630679
gnl|X|PROKKA_contig000002	PROKKA_00038	19526	20515	3	177	PF07993	0.999995344477
gnl|X|PROKKA_contig000002	PROKKA_00038	19526	20515	134	176	PF00106	0.9999281687
gnl|X|PROKKA_contig000002	PROKKA_00039	20574	21446	2	239	PF00483	0.999813481183
gnl|X|PROKKA_contig000002	PROKKA_00039	20574	21446	3	214	PF12804	0.999641327892
gnl|X|PROKKA_contig000002	PROKKA_00040	21463	22242	4	186	PF04199	0.999620822157
gnl|X|PROKKA_contig000002	PROKKA_00041	22396	22836	11	139	PF13577	0.999684310502
gnl|X|PROKKA_contig000002	PROKKA_00041	22396	22836	17	121	PF02136	0.999899340707
gnl|X|PROKKA_contig000002	PROKKA_00041	22396	22836	18	128	PF12680	0.99965162211
gnl|X|PROKKA_contig000002	PROKKA_00041	22396	22836	18	119	PF14534	0.99955681471
gnl|X|PROKKA_contig000002	PROKKA_00041	22396	22836	18	125	PF13474	0.999614659871
gnl|X|PROKKA_contig000002	PROKKA_00041	22396	22836	24	76	PF00866	0.999825315397
gnl|X|PROKKA_contig000002	PROKKA_00041	22396	22836	64	144	PF00866	0.99987306862
gnl|X|PROKKA_contig000002	PROKKA_00041	22396	22836	99	144	PF12680	0.999829403728
gnl|X|PROKKA_contig000002	PROKKA_00042	22904	23644	7	198	PF00106	0.999932021515
gnl|X|PROKKA_contig000002	PROKKA_00042	22904	23644	8	184	PF08659	0.999994839068
gnl|X|PROKKA_contig000002	PROKKA_00042	22904	23644	9	142	PF01370	0.999996491567
gnl|X|PROKKA_contig000002	PROKKA_00042	22904	23644	13	226	PF13561	0.999923583173
gnl|X|PROKKA_contig000002	PROKKA_00042	22904	23644	151	186	PF01370	0.999993358883
gnl|X|PROKKA_contig000002	PROKKA_00043	23699	24961	76	160	PF13528	0.99992517874
gnl|X|PROKKA_contig000002	PROKKA_00043	23699	24961	213	306	PF06722	0.99999960954
gnl|X|PROKKA_contig000002	PROKKA_00043	23699	24961	278	379	PF00201	0.999999998866
gnl|X|PROKKA_contig000002	PROKKA_00043	23699	24961	288	368	PF04101	0.999984186847
gnl|X|PROKKA_contig000002	PROKKA_00043	23699	24961	304	379	PF13528	0.999908020288
gnl|X|PROKKA_contig000002	PROKKA_00044	25072	26343	3	253	PF00109	0.999975229136
gnl|X|PROKKA_contig000002	PROKKA_00044	25072	26343	12	221	PF12695	0.999907558445
gnl|X|PROKKA_contig000002	PROKKA_00044	25072	26343	130	199	PF00108	0.99998328205
gnl|X|PROKKA_contig000002	PROKKA_00044	25072	26343	261	376	PF02801	0.999986025516
gnl|X|PROKKA_contig000002	PROKKA_00044	25072	26343	273	423	PF12695	0.999913973848
gnl|X|PROKKA_contig000002	PROKKA_00044	25072	26343	283	369	PF00108	0.999985038561
gnl|X|PROKKA_contig000002	PROKKA_00045	26340	27551	1	243	PF00109	0.99999308864
gnl|X|PROKKA_contig000002	PROKKA_00045	26340	27551	251	361	PF02801	0.999993663267
gnl|X|PROKKA_contig000002	PROKKA_00045	26340	27551	273	335	PF00109	0.999993868863
gnl|X|PROKKA_contig000002	PROKKA_00046	27551	27820	10	81	PF00550	0.999995088668
gnl|X|PROKKA_contig000002	PROKKA_00047	27817	28575	22	180	PF01370	0.999998226443
gnl|X|PROKKA_contig000002	PROKKA_00047	27817	28575	41	147	PF04321	0.999995584171
gnl|X|PROKKA_contig000002	PROKKA_00047	27817	28575	50	224	PF16363	0.999920431565
gnl|X|PROKKA_contig000002	PROKKA_00048	28565	29350	6	84	PF07350	0.999988109767
gnl|X|PROKKA_contig000002	PROKKA_00048	28565	29350	21	221	PF05721	0.999979384991
gnl|X|PROKKA_contig000002	PROKKA_00048	28565	29350	107	168	PF07350	0.999987608113
gnl|X|PROKKA_contig000002	PROKKA_00048	28565	29350	179	231	PF07350	0.99991380467
gnl|X|PROKKA_contig000002	PROKKA_00049	29531	30736	53	157	PF00355	0.998790320555
gnl|X|PROKKA_contig000002	PROKKA_00049	29531	30736	187	381	PF00848	0.998378993554
gnl|X|PROKKA_contig000002	PROKKA_00050	30801	32018	4	63	PF08421	0.99959644236
gnl|X|PROKKA_contig000002	PROKKA_00050	30801	32018	76	239	PF13489	0.999690120325
gnl|X|PROKKA_contig000002	PROKKA_00050	30801	32018	86	153	PF07021	0.999935930643
gnl|X|PROKKA_contig000002	PROKKA_00050	30801	32018	95	256	PF13847	0.999676128818
gnl|X|PROKKA_contig000002	PROKKA_00050	30801	32018	96	198	PF12847	0.999569079941
gnl|X|PROKKA_contig000002	PROKKA_00050	30801	32018	101	195	PF08241	0.999614491979
gnl|X|PROKKA_contig000002	PROKKA_00050	30801	32018	101	193	PF08242	0.999742306832
gnl|X|PROKKA_contig000002	PROKKA_00050	30801	32018	243	400	PF08484	0.999940620556
gnl|X|PROKKA_contig000002	PROKKA_00050	30801	32018	260	311	PF08663	0.9999335742
gnl|X|PROKKA_contig000002	PROKKA_00050	30801	32018	262	316	PF08241	0.999817421594
gnl|X|PROKKA_contig000002	PROKKA_00051	32062	33357	1	38	PF13528	0.999799958623
gnl|X|PROKKA_contig000002	PROKKA_00051	32062	33357	1	74	PF02310	0.999929885432
gnl|X|PROKKA_contig000002	PROKKA_00051	32062	33357	59	80	PF06722	0.999998969661
gnl|X|PROKKA_contig000002	PROKKA_00051	32062	33357	92	171	PF13528	0.999881717075
gnl|X|PROKKA_contig000002	PROKKA_00051	32062	33357	104	160	PF02310	0.999909153081
gnl|X|PROKKA_contig000002	PROKKA_00051	32062	33357	204	396	PF13528	0.999881899533
gnl|X|PROKKA_contig000002	PROKKA_00051	32062	33357	221	316	PF06722	0.999999330161
gnl|X|PROKKA_contig000002	PROKKA_00051	32062	33357	266	309	PF02310	0.999978334604
gnl|X|PROKKA_contig000002	PROKKA_00051	32062	33357	288	410	PF00201	0.999999998665
gnl|X|PROKKA_contig000002	PROKKA_00051	32062	33357	295	377	PF04101	0.999992804685
gnl|X|PROKKA_contig000002	PROKKA_00051	32062	33357	353	424	PF06722	0.999998956687
gnl|X|PROKKA_contig000002	PROKKA_00052	33360	34292	3	146	PF10604	0.999722502253
gnl|X|PROKKA_contig000002	PROKKA_00052	33360	34292	12	138	PF03364	0.999586515513
gnl|X|PROKKA_contig000002	PROKKA_00052	33360	34292	14	144	PF08327	0.999423808901
gnl|X|PROKKA_contig000002	PROKKA_00052	33360	34292	153	297	PF10604	0.999425272186
gnl|X|PROKKA_contig000002	PROKKA_00052	33360	34292	161	283	PF03364	0.999567963664
gnl|X|PROKKA_contig000002	PROKKA_00052	33360	34292	167	279	PF08327	0.9996840944
gnl|X|PROKKA_contig000002	PROKKA_00053	34311	35090	1	49	PF02882	0.999960835668
gnl|X|PROKKA_contig000002	PROKKA_00053	34311	35090	5	201	PF00106	0.999966050624
gnl|X|PROKKA_contig000002	PROKKA_00053	34311	35090	5	160	PF08659	0.999995921148
gnl|X|PROKKA_contig000002	PROKKA_00053	34311	35090	7	144	PF01370	0.999992903481
gnl|X|PROKKA_contig000002	PROKKA_00053	34311	35090	11	257	PF13561	0.999769486351
gnl|X|PROKKA_contig000002	PROKKA_00054	35233	36540	11	36	PF13528	0.999695986138
gnl|X|PROKKA_contig000002	PROKKA_00054	35233	36540	91	166	PF13528	0.999772202335
gnl|X|PROKKA_contig000002	PROKKA_00054	35233	36540	99	122	PF06722	0.99999834286
gnl|X|PROKKA_contig000002	PROKKA_00054	35233	36540	207	398	PF13528	0.999927735522
gnl|X|PROKKA_contig000002	PROKKA_00054	35233	36540	223	318	PF06722	0.999999616532
gnl|X|PROKKA_contig000002	PROKKA_00054	35233	36540	290	414	PF00201	0.999999998912
gnl|X|PROKKA_contig000002	PROKKA_00054	35233	36540	297	418	PF04101	0.999987533535
gnl|X|PROKKA_contig000002	PROKKA_00055	36521	37783	1	56	PF02310	0.999943334796
gnl|X|PROKKA_contig000002	PROKKA_00055	36521	37783	79	163	PF13528	0.99987317695
gnl|X|PROKKA_contig000002	PROKKA_00055	36521	37783	89	151	PF02310	0.999947746163
gnl|X|PROKKA_contig000002	PROKKA_00055	36521	37783	207	304	PF06722	0.999999443633
gnl|X|PROKKA_contig000002	PROKKA_00055	36521	37783	252	307	PF02310	0.999952743394
gnl|X|PROKKA_contig000002	PROKKA_00055	36521	37783	266	383	PF13528	0.999893888344
gnl|X|PROKKA_contig000002	PROKKA_00055	36521	37783	287	403	PF00201	0.999979006634
gnl|X|PROKKA_contig000002	PROKKA_00056	37802	39046	254	283	PF06633	0.347567357359
gnl|X|PROKKA_contig000002	PROKKA_00056	37802	39046	285	350	PF00067	0.381465897451
gnl|X|PROKKA_contig000002	PROKKA_00056	37802	39046	287	304	PF06633	0.347187879834
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	2	75	PF02826	0.992236555784
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	3	227	PF04321	0.99968793147
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	3	80	PF00106	0.999884672728
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	3	89	PF01113	0.999971076986
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	5	231	PF01370	0.999997618363
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	5	96	PF05368	0.999994421227
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	7	70	PF16363	0.99940434007
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	43	73	PF01361	0.998981699799
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	75	297	PF16363	0.999308944522
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	132	178	PF00106	0.999801103969
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	134	164	PF02826	0.999996843407
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	181	252	PF05368	0.999997627965
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	206	230	PF01361	0.99978938575
gnl|X|PROKKA_contig000002	PROKKA_00057	39081	40007	211	259	PF02826	0.999995421802
gnl|X|PROKKA_contig000002	PROKKA_00058	40004	40636	9	182	PF00908	0.999968702088
gnl|X|PROKKA_contig000002	PROKKA_00059	40670	41932	70	375	PF13528	0.999912529798
gnl|X|PROKKA_contig000002	PROKKA_00059	40670	41932	200	295	PF06722	0.999999574949
gnl|X|PROKKA_contig000002	PROKKA_00059	40670	41932	253	396	PF00201	0.999999998434
gnl|X|PROKKA_contig000002	PROKKA_00059	40670	41932	273	392	PF04101	0.999952411683
gnl|X|PROKKA_contig000002	PROKKA_00060	42140	42718	7	30	PF13560	0.999572726372
